,Transaction_ID,Date,Region,Category,Product,Units_Sold,Unit_Price_NGN,Sales_NGN,Month_Name,Year
32,PM-121458,2023-01-02,South West,Personal Care,Shea Glow Soap,38,1212.79,46086.02,January,2023
33,PM-100208,2023-01-02,South West,Grains & Cereals,Easy-Cook Beans,10,6158.82,61588.2,January,2023
34,PM-112092,2023-01-02,South West,Grains & Cereals,Golden Harvest Rice,1,2392.71,2392.71,January,2023
35,PM-124953,2023-01-02,South East,Home Care,Germ-Kill Liquid,39,7934.9,309461.1,January,2023
36,PM-101808,2023-01-02,South West,Beverages,Peak-Level Milk,14,8069.97,112979.58,January,2023
37,PM-111282,2023-01-02,South West,Personal Care,FreshMint Paste,2,3345.39,6690.78,January,2023
38,PM-125461,2023-01-02,South South,Grains & Cereals,Easy-Cook Beans,23,10582.42,243395.66,January,2023
39,PM-120931,2023-01-02,South East,Personal Care,FreshMint Paste,22,1226.3,26978.6,January,2023
40,PM-101516,2023-01-02,North East,Snacks,Crunchy Plantain Chips,30,555.38,16661.4,January,2023
41,PM-100161,2023-01-02,North Central,Beverages,Peak-Level Milk,1,8710.56,8710.56,January,2023
42,PM-120335,2023-01-02,South South,Beverages,Peak-Level Milk,1,8973.8,8973.8,January,2023
43,PM-101619,2023-01-02,South West,Personal Care,Shea Glow Soap,21,6170.84,129587.64,January,2023
44,PM-105654,2023-01-02,North Central,Beverages,Peak-Level Milk,9,8846.11,79614.99,January,2023
45,PM-111468,2023-01-03,South South,Personal Care,FreshMint Paste,47,3998.07,187909.29,January,2023
46,PM-103253,2023-01-03,South West,Beverages,Peak-Level Milk,7,11778.01,82446.07,January,2023
47,PM-129329,2023-01-03,North West,Snacks,Crunchy Plantain Chips,46,1215.26,55901.96,January,2023
48,PM-110870,2023-01-03,South South,Home Care,Germ-Kill Liquid,42,6089.99,255779.58,January,2023
49,PM-103893,2023-01-03,South East,Personal Care,FreshMint Paste,49,2771.0,135779.0,January,2023
50,PM-110504,2023-01-03,South West,Home Care,Bright-White Detergent,5,2901.07,14505.35,January,2023
51,PM-108164,2023-01-03,South West,Beverages,Zobo Max 50cl,32,9990.09,319682.88,January,2023
52,PM-116959,2023-01-03,North Central,Beverages,Naija Cocoa Mix,49,14229.59,697249.91,January,2023
53,PM-101311,2023-01-03,South West,Personal Care,Shea Glow Soap,46,4832.11,222277.06,January,2023
54,PM-101265,2023-01-03,South West,Grains & Cereals,Golden Harvest Rice,22,8917.35,196181.7,January,2023
55,PM-105463,2023-01-03,South East,Personal Care,Olu Herb Shampoo,31,7155.29,221813.99,January,2023
56,PM-121819,2023-01-03,South West,Home Care,Germ-Kill Liquid,25,6943.6,173590.0,January,2023
57,PM-116761,2023-01-03,North Central,Snacks,Crunchy Plantain Chips,10,1952.68,19526.8,January,2023
58,PM-124925,2023-01-03,North Central,Home Care,Germ-Kill Liquid,20,7448.36,148967.2,January,2023
59,PM-111513,2023-01-03,North Central,Home Care,Sparkle Dish Wash,12,6298.2,75578.4,January,2023
60,PM-119118,2023-01-03,South West,Home Care,Germ-Kill Liquid,39,3966.95,154711.05,January,2023
61,PM-128891,2023-01-03,North Central,Snacks,Crunchy Plantain Chips,27,872.33,23552.91,January,2023
62,PM-111225,2023-01-04,South West,Beverages,Naija Cocoa Mix,27,2306.8,62283.6,January,2023
63,PM-116248,2023-01-04,South West,Beverages,Zobo Max 50cl,44,9639.71,424147.24,January,2023
64,PM-106145,2023-01-04,North East,Snacks,Kuli-Kuli Bites,33,1831.63,60443.79,January,2023
65,PM-129239,2023-01-04,South East,Snacks,Crunchy Plantain Chips,40,419.31,16772.4,January,2023
66,PM-124192,2023-01-04,North Central,Personal Care,Olu Herb Shampoo,26,3004.73,78122.98,January,2023
67,PM-108941,2023-01-04,South West,Snacks,Kuli-Kuli Bites,26,1986.79,51656.54,January,2023
68,PM-114141,2023-01-04,North West,Personal Care,Shea Glow Soap,48,6176.38,296466.24,January,2023
69,PM-125217,2023-01-04,South South,Home Care,Sparkle Dish Wash,45,5211.43,234514.35,January,2023
70,PM-118749,2023-01-04,South West,Grains & Cereals,Pride Semo,18,5184.47,93320.46,January,2023
71,PM-119036,2023-01-04,South West,Beverages,Zobo Max 50cl,8,7200.49,57603.92,January,2023
72,PM-126419,2023-01-04,North Central,Beverages,Peak-Level Milk,31,14334.41,444366.71,January,2023
73,PM-127769,2023-01-04,South West,Beverages,Zobo Max 50cl,4,6527.06,26108.24,January,2023
74,PM-119122,2023-01-04,South East,Home Care,Sparkle Dish Wash,27,1849.67,49941.09,January,2023
75,PM-121722,2023-01-04,South West,Grains & Cereals,Easy-Cook Beans,17,10778.44,183233.48,January,2023
76,PM-121120,2023-01-04,South West,Beverages,Peak-Level Milk,12,2499.11,29989.32,January,2023
77,PM-114753,2023-01-04,South East,Beverages,Peak-Level Milk,2,3225.31,6450.62,January,2023
78,PM-101101,2023-01-04,South West,Personal Care,Olu Herb Shampoo,16,2561.01,40976.16,January,2023
79,PM-104780,2023-01-04,South West,Beverages,Naija Cocoa Mix,39,3595.24,140214.36,January,2023
80,PM-119586,2023-01-04,South West,Snacks,Crunchy Plantain Chips,25,1233.61,30840.25,January,2023
81,PM-100801,2023-01-04,North Central,Grains & Cereals,Golden Harvest Rice,15,4180.52,62707.8,January,2023
82,PM-124289,2023-01-04,South West,Grains & Cereals,Easy-Cook Beans,42,8178.53,343498.26,January,2023
83,PM-128672,2023-01-04,North West,Beverages,Naija Cocoa Mix,43,10757.92,462590.56,January,2023
84,PM-103237,2023-01-05,North West,Beverages,Naija Cocoa Mix,39,7305.14,284900.46,January,2023
85,PM-128594,2023-01-05,North Central,Snacks,Chin-Chin Delight,17,1788.76,30408.92,January,2023
86,PM-104457,2023-01-05,North Central,Personal Care,Olu Herb Shampoo,46,7733.2,355727.2,January,2023
87,PM-113026,2023-01-05,North Central,Beverages,Naija Cocoa Mix,34,1964.26,66784.84,January,2023
88,PM-121014,2023-01-05,South West,Grains & Cereals,Easy-Cook Beans,15,3557.01,53355.15,January,2023
89,PM-100856,2023-01-05,North Central,Snacks,Kuli-Kuli Bites,25,1376.16,34404.0,January,2023
90,PM-125547,2023-01-05,South West,Home Care,Germ-Kill Liquid,12,1398.05,16776.6,January,2023
91,PM-109967,2023-01-05,North Central,Snacks,Chin-Chin Delight,47,1613.51,75834.97,January,2023
92,PM-127054,2023-01-05,North Central,Home Care,Germ-Kill Liquid,28,9156.29,256376.12,January,2023
93,PM-116381,2023-01-05,South West,Snacks,Crunchy Plantain Chips,48,1250.59,60028.32,January,2023
94,PM-112280,2023-01-05,South West,Beverages,Peak-Level Milk,26,10687.64,277878.64,January,2023
95,PM-119679,2023-01-05,North East,Personal Care,FreshMint Paste,25,3922.72,98068.0,January,2023
96,PM-118004,2023-01-05,North Central,Snacks,Kuli-Kuli Bites,12,2401.03,28812.36,January,2023
97,PM-126188,2023-01-05,South East,Beverages,Naija Cocoa Mix,33,6480.18,213845.94,January,2023
98,PM-106041,2023-01-05,South South,Snacks,Chin-Chin Delight,22,231.52,5093.44,January,2023
99,PM-119135,2023-01-05,South West,Personal Care,Shea Glow Soap,30,6541.21,196236.3,January,2023
100,PM-100343,2023-01-05,South East,Beverages,Zobo Max 50cl,5,10607.16,53035.8,January,2023
101,PM-119111,2023-01-05,South East,Beverages,Zobo Max 50cl,42,3948.4,165832.8,January,2023
102,PM-125811,2023-01-05,North Central,Snacks,Crunchy Plantain Chips,3,684.77,2054.31,January,2023
103,PM-104513,2023-01-06,South West,Grains & Cereals,Easy-Cook Beans,16,7307.66,116922.56,January,2023
104,PM-112258,2023-01-06,North Central,Grains & Cereals,Golden Harvest Rice,21,6158.64,129331.44,January,2023
105,PM-104592,2023-01-06,South South,Beverages,Naija Cocoa Mix,28,14996.96,419914.88,January,2023
106,PM-123345,2023-01-06,South East,Personal Care,Olu Herb Shampoo,26,4973.84,129319.84,January,2023
107,PM-121588,2023-01-06,South West,Home Care,Germ-Kill Liquid,4,9081.25,36325.0,January,2023
108,PM-113114,2023-01-06,South South,Beverages,Naija Cocoa Mix,36,12665.4,455954.4,January,2023
109,PM-120420,2023-01-06,South West,Beverages,Naija Cocoa Mix,19,8977.64,170575.16,January,2023
110,PM-118086,2023-01-06,North West,Home Care,Germ-Kill Liquid,28,3142.45,87988.6,January,2023
111,PM-104255,2023-01-06,South South,Snacks,Chin-Chin Delight,8,672.19,5377.52,January,2023
112,PM-124577,2023-01-06,South East,Beverages,Peak-Level Milk,38,5420.28,205970.64,January,2023
113,PM-100798,2023-01-06,North Central,Beverages,Naija Cocoa Mix,47,13960.48,656142.56,January,2023
114,PM-111247,2023-01-06,South South,Home Care,Bright-White Detergent,31,7856.19,243541.89,January,2023
115,PM-129348,2023-01-06,South West,Beverages,Naija Cocoa Mix,22,3828.63,84229.86,January,2023
116,PM-129200,2023-01-06,South West,Personal Care,FreshMint Paste,6,6856.0,41136.0,January,2023
117,PM-108527,2023-01-06,South West,Grains & Cereals,Golden Harvest Rice,36,5428.71,195433.56,January,2023
118,PM-120194,2023-01-06,North East,Beverages,Zobo Max 50cl,15,13097.6,196464.0,January,2023
119,PM-106696,2023-01-06,South West,Snacks,Crunchy Plantain Chips,40,2173.71,86948.4,January,2023
120,PM-114398,2023-01-07,South West,Personal Care,Olu Herb Shampoo,38,5547.03,210787.14,January,2023
121,PM-127812,2023-01-07,North Central,Snacks,Crunchy Plantain Chips,34,591.78,20120.52,January,2023
122,PM-110450,2023-01-07,South West,Personal Care,Shea Glow Soap,37,4090.58,151351.46,January,2023
123,PM-121518,2023-01-07,North Central,Grains & Cereals,Golden Harvest Rice,37,4153.88,153693.56,January,2023
124,PM-118842,2023-01-07,South West,Beverages,Peak-Level Milk,29,12210.74,354111.46,January,2023
125,PM-114139,2023-01-07,South West,Beverages,Naija Cocoa Mix,22,10172.42,223793.24,January,2023
126,PM-128552,2023-01-07,South West,Snacks,Kuli-Kuli Bites,9,1134.83,10213.47,January,2023
127,PM-101545,2023-01-07,South South,Home Care,Bright-White Detergent,35,9268.67,324403.45,January,2023
128,PM-102824,2023-01-07,South South,Beverages,Peak-Level Milk,25,7762.06,194051.5,January,2023
129,PM-109054,2023-01-07,North Central,Grains & Cereals,Easy-Cook Beans,11,6079.37,66873.07,January,2023
130,PM-125157,2023-01-07,South East,Grains & Cereals,Easy-Cook Beans,38,4286.06,162870.28,January,2023
131,PM-101366,2023-01-07,North Central,Personal Care,FreshMint Paste,41,3793.43,155530.63,January,2023
132,PM-124136,2023-01-07,South West,Home Care,Germ-Kill Liquid,4,9299.65,37198.6,January,2023
133,PM-121016,2023-01-07,South East,Beverages,Naija Cocoa Mix,16,2072.33,33157.28,January,2023
134,PM-127152,2023-01-07,North Central,Beverages,Naija Cocoa Mix,20,12556.04,251120.8,January,2023
135,PM-116823,2023-01-07,South West,Beverages,Naija Cocoa Mix,14,13234.35,185280.9,January,2023
136,PM-108722,2023-01-07,North Central,Snacks,Crunchy Plantain Chips,7,2063.93,14447.51,January,2023
137,PM-128780,2023-01-07,South East,Beverages,Peak-Level Milk,29,3043.73,88268.17,January,2023
138,PM-115534,2023-01-07,North Central,Personal Care,Shea Glow Soap,5,4064.84,20324.2,January,2023
139,PM-117259,2023-01-07,North West,Home Care,Bright-White Detergent,5,9635.1,48175.5,January,2023
140,PM-106744,2023-01-07,South West,Personal Care,Olu Herb Shampoo,47,6891.18,323885.46,January,2023
141,PM-120363,2023-01-07,South South,Beverages,Zobo Max 50cl,11,12790.67,140697.37,January,2023
142,PM-104981,2023-01-07,South East,Home Care,Sparkle Dish Wash,36,6373.77,229455.72,January,2023
143,PM-101062,2023-01-07,South West,Snacks,Chin-Chin Delight,18,366.16,6590.88,January,2023
144,PM-128330,2023-01-08,South West,Snacks,Chin-Chin Delight,30,316.15,9484.5,January,2023
145,PM-111861,2023-01-08,North Central,Snacks,Kuli-Kuli Bites,20,1782.54,35650.8,January,2023
146,PM-112958,2023-01-08,South West,Beverages,Zobo Max 50cl,13,7187.45,93436.85,January,2023
147,PM-122152,2023-01-08,South West,Grains & Cereals,Pride Semo,24,2163.46,51923.04,January,2023
148,PM-123186,2023-01-08,South West,Home Care,Bright-White Detergent,14,7795.83,109141.62,January,2023
149,PM-111878,2023-01-08,North Central,Home Care,Sparkle Dish Wash,40,2524.89,100995.6,January,2023
150,PM-127971,2023-01-08,South South,Grains & Cereals,Easy-Cook Beans,6,3808.45,22850.7,January,2023
151,PM-104918,2023-01-08,South West,Snacks,Crunchy Plantain Chips,12,478.96,5747.52,January,2023
152,PM-111379,2023-01-08,North West,Grains & Cereals,Golden Harvest Rice,16,6177.38,98838.08,January,2023
153,PM-100732,2023-01-08,South West,Beverages,Zobo Max 50cl,12,8056.1,96673.2,January,2023
154,PM-102487,2023-01-08,North Central,Personal Care,Shea Glow Soap,2,7455.17,14910.34,January,2023
155,PM-113071,2023-01-08,South West,Beverages,Naija Cocoa Mix,45,8627.64,388243.8,January,2023
156,PM-109974,2023-01-08,North Central,Snacks,Crunchy Plantain Chips,40,234.48,9379.2,January,2023
157,PM-115749,2023-01-08,South West,Home Care,Bright-White Detergent,15,3860.87,57913.05,January,2023
158,PM-125068,2023-01-08,North East,Personal Care,Olu Herb Shampoo,43,5307.58,228225.94,January,2023
159,PM-117971,2023-01-08,South West,Home Care,Bright-White Detergent,10,5270.91,52709.1,January,2023
160,PM-120378,2023-01-08,South West,Beverages,Naija Cocoa Mix,23,5878.6,135207.8,January,2023
161,PM-126018,2023-01-08,South South,Beverages,Peak-Level Milk,7,2877.44,20142.08,January,2023
162,PM-117096,2023-01-08,South South,Home Care,Sparkle Dish Wash,34,1258.14,42776.76,January,2023
163,PM-127320,2023-01-08,South East,Personal Care,Olu Herb Shampoo,7,7984.88,55894.16,January,2023
164,PM-121903,2023-01-08,North Central,Snacks,Kuli-Kuli Bites,7,1079.59,7557.13,January,2023
165,PM-104493,2023-01-08,South South,Personal Care,Shea Glow Soap,8,7837.27,62698.16,January,2023
166,PM-103291,2023-01-08,North East,Snacks,Kuli-Kuli Bites,45,1309.12,58910.4,January,2023
167,PM-109441,2023-01-08,North West,Beverages,Peak-Level Milk,33,10594.01,349602.33,January,2023
168,PM-122815,2023-01-09,South East,Personal Care,FreshMint Paste,29,6799.8,197194.2,January,2023
169,PM-112593,2023-01-09,North East,Grains & Cereals,Easy-Cook Beans,38,8840.02,335920.76,January,2023
170,PM-105145,2023-01-09,South East,Snacks,Kuli-Kuli Bites,21,575.27,12080.67,January,2023
171,PM-112425,2023-01-09,South East,Grains & Cereals,Pride Semo,9,11851.13,106660.17,January,2023
172,PM-116309,2023-01-09,North Central,Snacks,Chin-Chin Delight,27,216.55,5846.85,January,2023
173,PM-112184,2023-01-09,South West,Beverages,Peak-Level Milk,16,9610.02,153760.32,January,2023
174,PM-106813,2023-01-09,South East,Grains & Cereals,Pride Semo,3,8549.02,25647.06,January,2023
175,PM-119350,2023-01-09,South West,Snacks,Crunchy Plantain Chips,2,2052.7,4105.4,January,2023
176,PM-118142,2023-01-09,South West,Personal Care,FreshMint Paste,4,3296.53,13186.12,January,2023
177,PM-100215,2023-01-09,North Central,Snacks,Crunchy Plantain Chips,11,2377.82,26156.02,January,2023
178,PM-126383,2023-01-09,South South,Snacks,Chin-Chin Delight,10,793.22,7932.2,January,2023
179,PM-111538,2023-01-09,North West,Personal Care,Olu Herb Shampoo,19,6209.44,117979.36,January,2023
180,PM-118490,2023-01-09,South South,Grains & Cereals,Golden Harvest Rice,1,5830.2,5830.2,January,2023
181,PM-118571,2023-01-09,South South,Snacks,Chin-Chin Delight,12,269.23,3230.76,January,2023
182,PM-108304,2023-01-09,South West,Snacks,Kuli-Kuli Bites,36,958.44,34503.84,January,2023
183,PM-108969,2023-01-09,South West,Beverages,Naija Cocoa Mix,44,4335.28,190752.32,January,2023
184,PM-125563,2023-01-09,South West,Snacks,Kuli-Kuli Bites,24,718.48,17243.52,January,2023
185,PM-101535,2023-01-09,South South,Snacks,Kuli-Kuli Bites,20,1651.29,33025.8,January,2023
186,PM-124174,2023-01-09,North Central,Personal Care,Shea Glow Soap,2,5322.53,10645.06,January,2023
187,PM-127359,2023-01-09,North East,Grains & Cereals,Golden Harvest Rice,11,11775.72,129532.92,January,2023
188,PM-122237,2023-01-09,South West,Personal Care,Shea Glow Soap,46,4414.99,203089.54,January,2023
189,PM-114857,2023-01-09,North West,Beverages,Peak-Level Milk,40,1870.36,74814.4,January,2023
190,PM-128295,2023-01-09,North Central,Grains & Cereals,Easy-Cook Beans,10,3474.36,34743.6,January,2023
191,PM-113785,2023-01-09,North Central,Beverages,Naija Cocoa Mix,17,6510.7,110681.9,January,2023
192,PM-123587,2023-01-10,South West,Grains & Cereals,Golden Harvest Rice,30,7772.71,233181.3,January,2023
193,PM-117731,2023-01-10,North Central,Grains & Cereals,Pride Semo,24,9391.75,225402.0,January,2023
194,PM-108277,2023-01-10,South East,Home Care,Bright-White Detergent,17,3733.05,63461.85,January,2023
195,PM-106607,2023-01-10,South East,Home Care,Germ-Kill Liquid,3,1784.73,5354.19,January,2023
196,PM-111483,2023-01-10,South East,Home Care,Germ-Kill Liquid,30,2661.32,79839.6,January,2023
197,PM-103440,2023-01-10,South West,Snacks,Crunchy Plantain Chips,41,1909.87,78304.67,January,2023
198,PM-114403,2023-01-10,South East,Snacks,Chin-Chin Delight,44,1652.52,72710.88,January,2023
199,PM-103318,2023-01-10,South East,Beverages,Zobo Max 50cl,38,11885.09,451633.42,January,2023
200,PM-126790,2023-01-10,North Central,Snacks,Crunchy Plantain Chips,15,1202.05,18030.75,January,2023
201,PM-109681,2023-01-10,South West,Beverages,Peak-Level Milk,35,8033.11,281158.85,January,2023
202,PM-121235,2023-01-10,South West,Grains & Cereals,Easy-Cook Beans,30,7644.7,229341.0,January,2023
203,PM-119957,2023-01-10,South South,Personal Care,Olu Herb Shampoo,3,5222.21,15666.63,January,2023
204,PM-100594,2023-01-10,South West,Grains & Cereals,Golden Harvest Rice,5,8772.8,43864.0,January,2023
205,PM-120190,2023-01-10,North West,Personal Care,FreshMint Paste,38,7632.01,290016.38,January,2023
206,PM-116520,2023-01-10,South West,Beverages,Naija Cocoa Mix,17,12569.45,213680.65,January,2023
207,PM-122803,2023-01-10,North West,Beverages,Peak-Level Milk,23,7021.73,161499.79,January,2023
208,PM-113122,2023-01-10,North East,Beverages,Zobo Max 50cl,28,3490.17,97724.76,January,2023
209,PM-124218,2023-01-10,North West,Grains & Cereals,Pride Semo,18,9110.88,163995.84,January,2023
210,PM-113455,2023-01-10,South West,Snacks,Chin-Chin Delight,35,371.73,13010.55,January,2023
211,PM-123086,2023-01-10,South West,Beverages,Peak-Level Milk,47,8505.85,399774.95,January,2023
212,PM-128746,2023-01-10,South West,Snacks,Chin-Chin Delight,2,948.84,1897.68,January,2023
213,PM-101833,2023-01-10,South West,Home Care,Sparkle Dish Wash,31,5728.1,177571.1,January,2023
214,PM-120409,2023-01-10,South West,Personal Care,Olu Herb Shampoo,38,7119.7,270548.6,January,2023
215,PM-100831,2023-01-10,North Central,Grains & Cereals,Easy-Cook Beans,12,6359.52,76314.24,January,2023
216,PM-124152,2023-01-10,North Central,Home Care,Bright-White Detergent,49,5297.97,259600.53,January,2023
217,PM-109972,2023-01-11,South South,Personal Care,Shea Glow Soap,45,7334.44,330049.8,January,2023
218,PM-127317,2023-01-11,South West,Beverages,Zobo Max 50cl,35,9959.48,348581.8,January,2023
219,PM-107697,2023-01-11,North East,Grains & Cereals,Golden Harvest Rice,19,7447.61,141504.59,January,2023
220,PM-125032,2023-01-11,South West,Personal Care,Olu Herb Shampoo,25,7482.41,187060.25,January,2023
221,PM-110638,2023-01-11,North Central,Home Care,Bright-White Detergent,24,4406.36,105752.64,January,2023
222,PM-106086,2023-01-11,North Central,Grains & Cereals,Easy-Cook Beans,17,6849.2,116436.4,January,2023
223,PM-108373,2023-01-11,North Central,Personal Care,Shea Glow Soap,48,7560.26,362892.48,January,2023
224,PM-110938,2023-01-11,North West,Grains & Cereals,Golden Harvest Rice,30,5941.28,178238.4,January,2023
225,PM-123759,2023-01-11,South East,Personal Care,Olu Herb Shampoo,15,2415.0,36225.0,January,2023
226,PM-126629,2023-01-11,North East,Snacks,Chin-Chin Delight,47,600.11,28205.17,January,2023
227,PM-128329,2023-01-11,North Central,Beverages,Zobo Max 50cl,16,13196.02,211136.32,January,2023
228,PM-122904,2023-01-11,North West,Beverages,Zobo Max 50cl,25,14650.67,366266.75,January,2023
229,PM-129208,2023-01-11,North Central,Personal Care,Shea Glow Soap,25,2764.8,69120.0,January,2023
230,PM-100919,2023-01-11,South South,Snacks,Kuli-Kuli Bites,40,866.52,34660.8,January,2023
231,PM-101284,2023-01-11,South South,Grains & Cereals,Golden Harvest Rice,45,3903.18,175643.1,January,2023
232,PM-116955,2023-01-11,North West,Snacks,Crunchy Plantain Chips,29,2047.78,59385.62,January,2023
233,PM-120984,2023-01-11,South South,Snacks,Chin-Chin Delight,17,530.23,9013.91,January,2023
234,PM-112905,2023-01-11,South West,Snacks,Chin-Chin Delight,7,1701.54,11910.78,January,2023
235,PM-128912,2023-01-11,North East,Beverages,Peak-Level Milk,22,7023.16,154509.52,January,2023
236,PM-101498,2023-01-11,South South,Home Care,Sparkle Dish Wash,18,3030.01,54540.18,January,2023
237,PM-120719,2023-01-11,South West,Grains & Cereals,Golden Harvest Rice,1,4483.13,4483.13,January,2023
238,PM-129478,2023-01-11,North Central,Beverages,Zobo Max 50cl,18,1551.62,27929.16,January,2023
239,PM-129024,2023-01-11,North Central,Beverages,Peak-Level Milk,37,6891.08,254969.96,January,2023
240,PM-116375,2023-01-11,South West,Grains & Cereals,Golden Harvest Rice,10,11739.0,117390.0,January,2023
241,PM-104180,2023-01-11,North East,Home Care,Sparkle Dish Wash,19,8309.2,157874.8,January,2023
242,PM-120418,2023-01-11,South West,Personal Care,FreshMint Paste,9,5805.27,52247.43,January,2023
243,PM-101141,2023-01-11,North Central,Grains & Cereals,Pride Semo,15,3407.96,51119.4,January,2023
244,PM-121943,2023-01-11,North Central,Grains & Cereals,Pride Semo,31,4694.51,145529.81,January,2023
245,PM-104796,2023-01-12,South West,Snacks,Crunchy Plantain Chips,40,346.85,13874.0,January,2023
246,PM-104823,2023-01-12,South East,Personal Care,Olu Herb Shampoo,17,6372.76,108336.92,January,2023
247,PM-110022,2023-01-12,South East,Beverages,Naija Cocoa Mix,22,11168.45,245705.9,January,2023
248,PM-101182,2023-01-12,South South,Home Care,Germ-Kill Liquid,22,9204.46,202498.12,January,2023
249,PM-114626,2023-01-12,South South,Beverages,Zobo Max 50cl,1,12433.15,12433.15,January,2023
250,PM-104682,2023-01-12,North West,Snacks,Chin-Chin Delight,42,1265.29,53142.18,January,2023
251,PM-129782,2023-01-12,South West,Personal Care,FreshMint Paste,38,908.65,34528.7,January,2023
252,PM-125382,2023-01-12,South West,Beverages,Zobo Max 50cl,19,12714.85,241582.15,January,2023
253,PM-120806,2023-01-12,North Central,Snacks,Chin-Chin Delight,24,1668.69,40048.56,January,2023
254,PM-108884,2023-01-12,South West,Personal Care,FreshMint Paste,38,7766.75,295136.5,January,2023
255,PM-108670,2023-01-12,South West,Grains & Cereals,Easy-Cook Beans,10,9657.52,96575.2,January,2023
256,PM-114605,2023-01-12,South West,Snacks,Kuli-Kuli Bites,44,1078.75,47465.0,January,2023
257,PM-109509,2023-01-12,South West,Grains & Cereals,Golden Harvest Rice,27,11972.0,323244.0,January,2023
258,PM-117874,2023-01-12,North West,Snacks,Crunchy Plantain Chips,26,1219.85,31716.1,January,2023
259,PM-112439,2023-01-12,North East,Home Care,Germ-Kill Liquid,35,3365.2,117782.0,January,2023
260,PM-118639,2023-01-12,South West,Snacks,Chin-Chin Delight,49,1579.51,77395.99,January,2023
261,PM-119062,2023-01-12,North West,Home Care,Sparkle Dish Wash,23,9602.35,220854.05,January,2023
262,PM-123388,2023-01-12,South East,Beverages,Naija Cocoa Mix,40,12083.32,483332.8,January,2023
263,PM-127747,2023-01-12,North Central,Snacks,Crunchy Plantain Chips,14,520.47,7286.58,January,2023
264,PM-129744,2023-01-12,South West,Grains & Cereals,Golden Harvest Rice,29,10514.09,304908.61,January,2023
265,PM-101970,2023-01-12,North Central,Personal Care,Olu Herb Shampoo,16,1294.49,20711.84,January,2023
